{'k': 10, 'reg_penalty': 10}
Step  2600 , error  23540.3370887 , delta error  47.003719756 , grad norm  216.640778311
Step  2700 , error  19284.6336148 , delta error  38.4796509183 , grad norm  196.015157556
Step  2800 , error  15800.6958159 , delta error  31.50143195 , grad norm  177.353287486
Step  2900 , error  12948.5633637 , delta error  25.7887160761 , grad norm  160.468190921
Step  3000 , error  10613.6582825 , delta error  21.112000063 , grad norm  145.190695697
Step  3100 , error  8702.1816422 , delta error  17.2834028481 , grad norm  131.367738667
Step  3200 , error  7137.34513518 , delta error  14.149116754 , grad norm  118.860831377
Step  3300 , error  5856.28610619 , delta error  11.5832278727 , grad norm  107.54467198
Step  3400 , error  4807.54207545 , delta error  9.4826572557 , grad norm  97.3058894189
Step  3500 , error  3948.98327944 , delta error  7.76301961057 , grad norm  88.0419072604
Step  3600 , error  3246.12016056 , delta error  6.35523308424 , grad norm  79.6599157622
Step  3700 , error  2670.71780345 , delta error  5.20274390389 , grad norm  72.0759418577
Step  3800 , error  2199.66164983 , delta error  4.2592543575 , grad norm  65.2140077207
Step  3900 , error  1814.02892011 , delta error  3.48686282452 , grad norm  59.0053694685
Step  4000 , error  1498.3284353 , delta error  2.85454112465 , grad norm  53.3878283666
Step  4100 , error  1239.87829871 , delta error  2.33688800813 , grad norm  48.305107628
Step  4200 , error  1028.29643594 , delta error  1.91310870622 , grad norm  43.7062885586
Step  4300 , error  855.083525791 , delta error  1.56617954388 , grad norm  39.545300394
Step  4400 , error  713.281566739 , delta error  1.28216405221 , grad norm  35.7804587154
Step  4500 , error  597.194362253 , delta error  1.04965310541 , grad norm  32.3740478174
Step  4600 , error  502.158695901 , delta error  0.859306589581 , grad norm  29.2919428413
Step  4700 , error  424.357003566 , delta error  0.703478190339 , grad norm  26.5032678884
Step  4800 , error  360.664017258 , delta error  0.57590822531 , grad norm  23.9800866847
Step  4900 , error  308.521219778 , delta error  0.471472181366 , grad norm  21.6971227003
Step  5000 , error  265.834066725 , delta error  0.385974854531 , grad norm  19.631505916
Step  5001 , error  265.834066725 , delta error  0.385974854531 , grad norm  19.631505916
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 37.76%
[0.0, 0.0]
Step  100 , error  3494791.97258 , delta error  7009.21517592 , grad norm  2645.49907116
Step  200 , error  2860377.15249 , delta error  5734.66918759 , grad norm  2392.91612753
Step  300 , error  2341273.42806 , delta error  4692.74167098 , grad norm  2164.64582896
Step  400 , error  1916459.30057 , delta error  3840.56936925 , grad norm  1958.26510599
Step  500 , error  1568774.61039 , delta error  3143.39183591 , grad norm  1771.63007283
Step  600 , error  1284197.04031 , delta error  2572.91236522 , grad norm  1602.82591013
Step  700 , error  1051261.46548 , delta error  2106.04825511 , grad norm  1450.13378153
Step  800 , error  860590.09812 , delta error  1723.94729975 , grad norm  1312.00636919
Step  900 , error  704510.595703 , delta error  1411.20102028 , grad norm  1187.04838493
Step  1000 , error  576744.874378 , delta error  1155.20962074 , grad norm  1074.00029863
Step  1100 , error  472155.148193 , delta error  945.666773585 , grad norm  971.72435196
Step  1200 , error  386536.471302 , delta error  774.140339489 , grad norm  879.192318077
Step  1300 , error  316447.162082 , delta error  633.730508618 , grad norm  795.47466837
Step  1400 , error  259070.133848 , delta error  518.79072711 , grad norm  719.73091582
Step  1500 , error  212099.466533 , delta error  424.69969422 , grad norm  651.200967376
Step  1600 , error  173647.606053 , delta error  347.674982478 , grad norm  589.197356308
Step  1700 , error  142169.428977 , delta error  284.620624667 , grad norm  533.098250662
Step  1800 , error  116400.10081 , delta error  233.002443851 , grad norm  482.341151428
Step  1900 , error  95304.2182041 , delta error  190.746056696 , grad norm  436.417206772
Step  2000 , error  78034.1836311 , delta error  156.153414693 , grad norm  394.866078526
Step  2100 , error  63896.1349068 , delta error  127.834506698 , grad norm  357.271304939
Step  2200 , error  52322.0574025 , delta error  104.651464075 , grad norm  323.256110157
Step  2300 , error  42846.9563426 , delta error  85.6728133149 , grad norm  292.479616348
Step  2400 , error  35090.1706527 , delta error  70.1360321203 , grad norm  264.633419071
Step  2500 , error  28740.0767011 , delta error  57.4169006704 , grad norm  239.438490554
Step  2600 , error  23541.5667929 , delta error  47.0044141592 , grad norm  216.642379144
Step  2700 , error  19285.7989571 , delta error  38.480247027 , grad norm  196.016676367
Step  2800 , error  15801.8059577 , delta error  31.501942741 , grad norm  177.354725842
Step  2900 , error  12949.6262445 , delta error  25.7891530387 , grad norm  160.469550838
Step  3000 , error  10614.6807636 , delta error  21.1123733092 , grad norm  145.191979531
Step  3100 , error  8703.169638 , delta error  17.2837212337 , grad norm  131.368949021
Step  3200 , error  7138.30373281 , delta error  14.1493880024 , grad norm  118.861971029
Step  3300 , error  5857.21967249 , delta error  11.5834586958 , grad norm  107.545743821
Step  3400 , error  4808.45435226 , delta error  9.48285346843 , grad norm  97.3068964085
Step  3500 , error  3949.87746791 , delta error  7.76318623714 , grad norm  88.0428523839
Step  3600 , error  3246.99899521 , delta error  6.35537445523 , grad norm  79.6608020017
Step  3700 , error  2671.58361704 , delta error  5.20286374393 , grad norm  72.0767721663
Step  3800 , error  2200.5164299 , delta error  4.25935586398 , grad norm  65.2147850019
Step  3900 , error  1814.87435811 , delta error  3.48694873731 , grad norm  59.0060965601
Step  4000 , error  1499.16596916 , delta error  2.85461378785 , grad norm  53.3885080282
Step  4100 , error  1240.70914962 , delta error  2.33694942429 , grad norm  48.3057425318
Step  4200 , error  1029.12164005 , delta error  1.91316058378 , grad norm  43.7068812818
Step  4300 , error  855.90396151 , delta error  1.56622333855 , grad norm  39.5458534138
Step  4400 , error  714.097978117 , delta error  1.28220100293 , grad norm  35.7809744062
Step  4500 , error  598.007379066 , delta error  1.04968426546 , grad norm  32.3745284484
Step  4600 , error  502.968850818 , delta error  0.859332853538 , grad norm  29.2923905764
Step  4700 , error  425.164746822 , delta error  0.703500317277 , grad norm  26.503684786
Step  4800 , error  361.46972917 , delta error  0.575926858744 , grad norm  23.9804746994
Step  4900 , error  309.325221413 , delta error  0.471487866413 , grad norm  21.6974836846
Step  5000 , error  266.636628979 , delta error  0.385988052593 , grad norm  19.6318416226
Step  5001 , error  266.636628979 , delta error  0.385988052593 , grad norm  19.6318416226
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 38.27%
[0.0, 0.0, 0.0]
Step  100 , error  3494844.19144 , delta error  7009.80210297 , grad norm  2645.60957442
Step  200 , error  2860384.16817 , delta error  5735.00508749 , grad norm  2392.98599528
Step  300 , error  2341255.67334 , delta error  4692.91571591 , grad norm  2164.68581336
Step  400 , error  1916429.50763 , delta error  3840.64561362 , grad norm  1958.28443173
Step  500 , error  1568740.32006 , delta error  3143.41144903 , grad norm  1771.63551977
Step  600 , error  1284162.52763 , delta error  2572.90076602 , grad norm  1602.82223987
Step  700 , error  1051229.01096 , delta error  2106.02079438 , grad norm  1450.12428605
Step  800 , error  860560.788761 , delta error  1723.91305994 , grad norm  1311.99331003
Step  900 , error  704484.820713 , delta error  1411.16522774 , grad norm  1187.03330916
Step  1000 , error  576722.628816 , delta error  1155.17515039 , grad norm  1073.98425867
Step  1100 , error  472136.217302 , delta error  945.63508167 , grad norm  971.708057093
Step  1200 , error  386520.540945 , delta error  774.112040292 , grad norm  879.176239067
Step  1300 , error  316433.883547 , delta error  633.705730003 , grad norm  795.459109893
Step  1400 , error  259059.160592 , delta error  518.76932851 , grad norm  719.716066933
Step  1500 , error  212090.473784 , delta error  424.681398984 , grad norm  651.186936853
Step  1600 , error  173640.300081 , delta error  347.659456902 , grad norm  589.184197488
Step  1700 , error  142163.55027 , delta error  284.607523888 , grad norm  533.085978984
Step  1800 , error  116395.423768 , delta error  232.991437283 , grad norm  482.329756821
Step  1900 , error  95300.548986 , delta error  190.736840968 , grad norm  436.406662421
Step  2000 , error  78031.3571059 , delta error  156.145719065 , grad norm  394.856347051
Step  2100 , error  63894.0113138 , delta error  127.828094101 , grad norm  357.262342749
Step  2200 , error  52320.5190402 , delta error  104.646129704 , grad norm  323.247870484
Step  2300 , error  42845.9044697 , delta error  85.6683819767 , grad norm  292.472051351
Step  2400 , error  35089.5226845 , delta error  70.1323550599 , grad norm  264.626481262
Step  2500 , error  28739.763732 , delta error  57.4138522903 , grad norm  239.43213375
Step  2600 , error  23541.5314412 , delta error  47.0018888772 , grad norm  216.636559077
Step  2700 , error  19285.9935113 , delta error  38.4781563894 , grad norm  196.011351051
Step  2800 , error  15802.1907969 , delta error  31.5002128435 , grad norm  177.349855765
Step  2900 , error  12950.1685001 , delta error  25.787722266 , grad norm  160.465099045
Step  3000 , error  10615.3531914 , delta error  21.1111903806 , grad norm  145.187911617
Step  3100 , error  8703.94967188 , delta error  17.2827435291 , grad norm  131.365233071
Step  3200 , error  7139.17269212 , delta error  14.1485801402 , grad norm  118.858577523
Step  3300 , error  5858.16210072 , delta error  11.5827913312 , grad norm  107.542645521
Step  3400 , error  4809.45746591 , delta error  9.48230228194 , grad norm  97.3040682229
Step  3500 , error  3950.93069797 , delta error  7.7627310874 , grad norm  88.0402712374
Step  3600 , error  3248.09360622 , delta error  6.35499867005 , grad norm  79.6584466976
Step  3700 , error  2672.71239095 , delta error  5.2025535292 , grad norm  72.0746232538
Step  3800 , error  2201.67340384 , delta error  4.25909981126 , grad norm  65.2128246474
Step  3900 , error  1816.05460716 , delta error  3.48673741449 , grad norm  59.0043084243
Step  4000 , error  1500.36542639 , delta error  2.85443939904 , grad norm  53.38687715
Step  4100 , error  1241.92445719 , delta error  2.33680552765 , grad norm  48.3042552188
Step  4200 , error  1030.35002597 , delta error  1.91304185754 , grad norm  43.7055250085
Step  4300 , error  857.143137706 , delta error  1.56612538716 , grad norm  39.5446167269
Step  4400 , error  715.346056205 , delta error  1.2821201965 , grad norm  35.7798468358
Step  4500 , error  599.262800686 , delta error  1.04961760691 , grad norm  32.3735004268
Step  4600 , error  504.230330085 , delta error  0.859277868606 , grad norm  29.2914533627
Step  4700 , error  426.431222775 , delta error  0.703454963608 , grad norm  26.5028303967
Step  4800 , error  362.740326503 , delta error  0.575889450705 , grad norm  23.9796958442
Step  4900 , error  310.599218038 , delta error  0.471457012936 , grad norm  21.6967737076
Step  5000 , error  267.913429244 , delta error  0.38596260582 , grad norm  19.6311944483
Step  5001 , error  267.913429244 , delta error  0.38596260582 , grad norm  19.6311944483
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 38.78%
[0.0, 0.0, 0.0, 0.0]
Result:  result(mean_score=0.0, std_dev=0.0, parameters={'k': 50, 'reg_penalty': 200})
{'k': 50, 'reg_penalty': 500}
Step  100 , error  3494361.54764 , delta error  7002.71709083 , grad norm  2644.27733567
Step  200 , error  2860403.93966 , delta error  5731.60675023 , grad norm  2392.27992218
Step  300 , error  2341507.5406 , delta error  4691.44724613 , grad norm  2164.34897584
Step  400 , error  1916771.72962 , delta error  3840.18748488 , grad norm  1958.16882031
Step  500 , error  1569099.29198 , delta error  3143.47011044 , grad norm  1771.65282664
Step  600 , error  1284501.47848 , delta error  2573.20767528 , grad norm  1602.91835137
Step  700 , error  1051531.2455 , delta error  2106.42964035 , grad norm  1450.26538854
Step  800 , error  860820.49591 , delta error  1724.34525313 , grad norm  1312.15800338
Step  900 , error  704701.950198 , delta error  1411.58014004 , grad norm  1187.20797147
Step  1000 , error  576900.013251 , delta error  1155.55349532 , grad norm  1074.16023941
Step  1100 , error  472277.958352 , delta error  945.969476738 , grad norm  971.879933204
Step  1200 , error  386631.117273 , delta error  774.401589831 , grad norm  879.340707024
Step  1300 , error  316517.674097 , delta error  633.952902321 , grad norm  795.614268392
Step  1400 , error  259120.207109 , delta error  518.978161896 , grad norm  719.860944854
Step  1500 , error  212132.380032 , delta error  424.856485327 , grad norm  651.321178469
Step  1600 , error  173666.207582 , delta error  347.805382764 , grad norm  589.307850287
Step  1700 , error  142176.155169 , delta error  284.728580592 , grad norm  533.199349527
Step  1800 , error  116397.014046 , delta error  233.091487961 , grad norm  482.433312331
Step  1900 , error  95293.05 , delta error  190.819277562 , grad norm  436.500963469
Step  2000 , error  78016.3786638 , delta error  156.213469111 , grad norm  394.942001614
Step  2100 , error  63872.892612 , delta error  127.883653337 , grad norm  357.339975044
Step  2200 , error  52294.369664 , delta error  104.691606339 , grad norm  323.318100111
Step  2300 , error  42815.6407408 , delta error  85.7055444408 , grad norm  292.535479621
Step  2400 , error  35055.8992604 , delta error  70.162678671 , grad norm  264.683682567
Step  2500 , error  28703.4007001 , delta error  57.4385624851 , grad norm  239.483650457
Step  2600 , error  23502.9373109 , delta error  47.0219999421 , grad norm  216.682898869
Step  2700 , error  19245.5845757 , delta error  38.4945053979 , grad norm  196.052985959
Step  2800 , error  15760.3073377 , delta error  31.5134889316 , grad norm  177.387222363
Step  2900 , error  12907.088287 , delta error  25.7984915985 , grad norm  160.498599407
Step  3000 , error  10571.3026825 , delta error  21.1199172584 , grad norm  145.217914767
Step  3100 , error  8659.11327921 , delta error  17.2898081159 , grad norm  131.392076744
Step  3200 , error  7093.70042468 , delta error  14.154293272 , grad norm  118.882570082
Step  3300 , error  5812.17585619 , delta error  11.5874068355 , grad norm  107.564067942
Step  3400 , error  4763.0561996 , delta error  9.48602719191 , grad norm  97.3231760848
Step  3500 , error  3904.19466239 , delta error  7.76573408494 , grad norm  88.0572966675
Step  3600 , error  3201.08782331 , delta error  6.35741704939 , grad norm  79.6736002406
Step  3700 , error  2625.48949207 , delta error  5.20449892794 , grad norm  72.0880956503
Step  3800 , error  2154.27594995 , delta error  4.26066291903 , grad norm  65.2247885098
Step  3900 , error  1768.51698212 , delta error  3.48799183549 , grad norm  59.0149198037
Step  4000 , error  1452.71538047 , delta error  2.85544481636 , grad norm  53.3962769945
Step  4100 , error  1194.18436408 , delta error  2.33761029221 , grad norm  48.3125707243
Step  4200 , error  982.537905575 , delta error  1.91368510405 , grad norm  43.712870865
Step  4300 , error  809.273487627 , delta error  1.56663876159 , grad norm  39.5510962655
Step  4400 , error  667.430527034 , delta error  1.28252926512 , grad norm  35.7855530814
Step  4500 , error  551.310744046 , delta error  1.04994300445 , grad norm  32.3785170627
Step  4600 , error  456.249242969 , delta error  0.859536233075 , grad norm  29.295855612
Step  4700 , error  378.42710751 , delta error  0.703659696711 , grad norm  26.5066858272
Step  4800 , error  314.717982096 , delta error  0.576051335897 , grad norm  23.9830651022
Step  4900 , error  262.56247578 , delta error  0.471584717364 , grad norm  21.6997111863
Step  5000 , error  219.865343068 , delta error  0.386063087597 , grad norm  19.6337488952
Step  5001 , error  219.865343068 , delta error  0.386063087597 , grad norm  19.6337488952
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 39.29%
[0.0]
Step  100 , error  3494372.97978 , delta error  7002.80483049 , grad norm  2644.29386194
Step  200 , error  2860408.56946 , delta error  5731.65821196 , grad norm  2392.29063334
Step  300 , error  2341508.26165 , delta error  4691.47596708 , grad norm  2164.35558007
Step  400 , error  1916770.3479 , delta error  3840.20209511 , grad norm  1958.17252995
Step  500 , error  1569096.92033 , delta error  3143.47610704 , grad norm  1771.65450506
Step  600 , error  1284498.78865 , delta error  2573.20855119 , grad norm  1602.91861561
Step  700 , error  1051528.62958 , delta error  2106.42760355 , grad norm  1450.26468087
Step  800 , error  860818.169883 , delta error  1724.34168658 , grad norm  1312.15664139
Step  900 , error  704700.020451 , delta error  1411.5758971 , grad norm  1187.20618335
Step  1000 , error  576898.519227 , delta error  1155.54909012 , grad norm  1074.15818894
Step  1100 , error  472276.899813 , delta error  945.965207227 , grad norm  971.877737585
Step  1200 , error  386630.471613 , delta error  774.397617316 , grad norm  879.338449694
Step  1300 , error  316517.407223 , delta error  633.949302938 , grad norm  795.612008221
Step  1400 , error  259120.280159 , delta error  518.97495981 , grad norm  719.858722823
Step  1500 , error  212132.753413 , delta error  424.853674048 , grad norm  651.319022522
Step  1600 , error  173666.843304 , delta error  347.802938724 , grad norm  589.30577887
Step  1700 , error  142177.018082 , delta error  284.7264717 , grad norm  533.197374174
Step  1800 , error  116398.07241 , delta error  233.089678879 , grad norm  482.431439562
Step  1900 , error  95294.2756303 , delta error  190.81773287 , grad norm  436.499196185
Step  2000 , error  78017.7468425 , delta error  156.212155118 , grad norm  394.940340122
Step  2100 , error  63874.3818598 , delta error  127.882539033 , grad norm  357.338417819
Step  2200 , error  52295.9614486 , delta error  104.690663802 , grad norm  323.316644349
Step  2300 , error  42817.3191616 , delta error  85.7047489185 , grad norm  292.534121653
Step  2400 , error  35057.650736 , delta error  70.1620084751 , grad norm  264.682418168
Step  2500 , error  28705.213672 , delta error  57.4379987759 , grad norm  239.482475061
Step  2600 , error  23504.8019715 , delta error  47.0215264645 , grad norm  216.681807741
Step  2700 , error  19247.4926245 , delta error  38.4941082014 , grad norm  196.051974312
Step  2800 , error  15762.2517644 , delta error  31.5131560957 , grad norm  177.386285446
Step  2900 , error  12909.0631818 , delta error  25.7982129728 , grad norm  160.497732564
Step  3000 , error  10573.3030715 , delta error  21.1196842252 , grad norm  145.217113485
Step  3100 , error  8661.13498181 , delta error  17.2896133767 , grad norm  131.39133668
Step  3200 , error  7095.7399317 , delta error  14.1541306588 , grad norm  118.881887082
Step  3300 , error  5814.23022521 , delta error  11.587271145 , grad norm  107.563438055
Step  3400 , error  4765.12296593 , delta error  9.48591404203 , grad norm  97.322595566
Step  3500 , error  3906.27176342 , delta error  7.76563979 , grad norm  88.0567619806
Step  3600 , error  3203.17353442 , delta error  6.35733851352 , grad norm  79.6731080557
Step  3700 , error  2627.58237232 , delta error  5.20443355365 , grad norm  72.08764284
Step  3800 , error  2156.37479633 , delta error  4.26060852922 , grad norm  65.2243721429
Step  3900 , error  1770.62079096 , delta error  3.48794660712 , grad norm  59.0145371385
Step  4000 , error  1454.82331493 , delta error  2.85540722418 , grad norm  53.3959254706
Step  4100 , error  1196.29572682 , delta error  2.3375790612 , grad norm  48.3122479546
Step  4200 , error  984.652115872 , delta error  1.91365916912 , grad norm  43.7125746267
Step  4300 , error  811.390062108 , delta error  1.56661723366 , grad norm  39.5508244915
Step  4400 , error  669.549063576 , delta error  1.28251140252 , grad norm  35.7853038517
Step  4500 , error  553.43090828 , delta error  1.04992818886 , grad norm  32.3782885957
Step  4600 , error  458.370756994 , delta error  0.859523949327 , grad norm  29.2956462561
Step  4700 , error  380.549740461 , delta error  0.703649515801 , grad norm  26.5064940528
Step  4800 , error  316.841542267 , delta error  0.576042900781 , grad norm  23.9828894941
Step  4900 , error  264.686804047 , delta error  0.471577731028 , grad norm  21.6995504356
Step  5000 , error  221.990307404 , delta error  0.38605730309 , grad norm  19.6336017929
Step  5001 , error  221.990307404 , delta error  0.38605730309 , grad norm  19.6336017929
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 39.80%
[0.0, 0.0]
Step  100 , error  3494368.41852 , delta error  7002.79654602 , grad norm  2644.29227797
Step  200 , error  2860405.2187 , delta error  5731.64419289 , grad norm  2392.2877016
Step  300 , error  2341506.28952 , delta error  4691.46297331 , grad norm  2164.35258247
Step  400 , error  1916769.53627 , delta error  3840.19195173 , grad norm  1958.16994575
Step  500 , error  1569096.97311 , delta error  3143.46887649 , grad norm  1771.65247017
Step  600 , error  1284499.43705 , delta error  2573.20374925 , grad norm  1602.91712273
Step  700 , error  1051529.65994 , delta error  2106.42465522 , grad norm  1450.26366848
Step  800 , error  860819.423391 , delta error  1724.34008183 , grad norm  1312.15603311
Step  900 , error  704701.384152 , delta error  1411.57522967 , grad norm  1187.20590468
Step  1000 , error  576899.915633 , delta error  1155.54905354 , grad norm  1074.15817367
Step  1100 , error  472278.277748 , delta error  945.965577778 , grad norm  971.877929447
Step  1200 , error  386631.798881 , delta error  774.398235505 , grad norm  879.33880199
Step  1300 , error  316518.66503 , delta error  633.950057305 , grad norm  795.612482738
Step  1400 , error  259121.458988 , delta error  518.97577404 , grad norm  719.859288531
Step  1500 , error  212133.85003 , delta error  424.854497151 , grad norm  651.319654337
Step  1600 , error  173667.858612 , delta error  347.803737745 , grad norm  589.306456574
Step  1700 , error  142177.955601 , delta error  284.72722638 , grad norm  533.198081506
Step  1800 , error  116398.93721 , delta error  233.0903778 , grad norm  482.432163474
Step  1900 , error  95295.0736 , delta error  190.818370675 , grad norm  436.49992624
Step  2000 , error  78018.4841849 , delta error  156.21273053 , grad norm  394.941068011
Step  2100 , error  63875.0647617 , delta error  127.883053437 , grad norm  357.339136963
Step  2200 , error  52296.595867 , delta error  104.691120255 , grad norm  323.31734959
Step  2300 , error  42817.910694 , delta error  85.7051514496 , grad norm  292.534808997
Step  2400 , error  35058.2045489 , delta error  70.1623616018 , grad norm  264.683084577
Step  2500 , error  28705.7344699 , delta error  57.4383071765 , grad norm  239.483118286
Step  2600 , error  23505.2939926 , delta error  47.0217947584 , grad norm  216.682426182
Step  2700 , error  19247.959654 , delta error  38.4943408104 , grad norm  196.052566903
Step  2800 , error  15762.6971593 , delta error  31.513357159 , grad norm  177.386851558
Step  2900 , error  12909.4899012 , delta error  25.7983863019 , grad norm  160.49827193
Step  3000 , error  10573.713711 , delta error  21.1198332851 , grad norm  145.217626131
Step  3100 , error  8661.53180803 , delta error  17.2897412863 , grad norm  131.391822868
Step  3200 , error  7096.12491633 , delta error  14.1542402015 , grad norm  118.882347264
Step  3300 , error  5814.60507778 , delta error  11.5873647885 , grad norm  107.563872833
Step  3400 , error  4765.4891642 , delta error  9.48599396094 , grad norm  97.3230056626
Step  3500 , error  3906.63058143 , delta error  7.7657078915 , grad norm  88.0571482047
Step  3600 , error  3203.52606789 , delta error  6.35739646299 , grad norm  79.6734712831
Step  3700 , error  2627.9295616 , delta error  5.20448279983 , grad norm  72.0879839924
Step  3800 , error  2156.7174468 , delta error  4.26065032819 , grad norm  65.2246921714
Step  3900 , error  1770.95959118 , delta error  3.48798204473 , grad norm  59.0148370098
Step  4000 , error  1455.15885258 , delta error  2.85543723665 , grad norm  53.3962061559
Step  4100 , error  1196.62850274 , delta error  2.33760445374 , grad norm  48.3125104198
Step  4200 , error  984.982556268 , delta error  1.91368063281 , grad norm  43.7128198252
Step  4300 , error  811.718529205 , delta error  1.56663536044 , grad norm  39.5510533579
Step  4400 , error  669.875864844 , delta error  1.28252669848 , grad norm  35.7855172969
Step  4500 , error  553.756304411 , delta error  1.04994108599 , grad norm  32.3784875031
Step  4600 , error  458.694968788 , delta error  0.859534815786 , grad norm  29.2958314788
Step  4700 , error  380.872954739 , delta error  0.703658664911 , grad norm  26.5066664117
Step  4800 , error  317.163916953 , delta error  0.576050598843 , grad norm  23.9830497761
Step  4900 , error  265.008472521 , delta error  0.471584204098 , grad norm  21.6996993932
Step  5000 , error  222.311382222 , delta error  0.38606274284 , grad norm  19.6337401432
Step  5001 , error  222.311382222 , delta error  0.38606274284 , grad norm  19.6337401432
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 40.31%
[0.0, 0.0, 0.0]
Step  100 , error  3494389.76145 , delta error  7003.02477337 , grad norm  2644.3352683
Step  200 , error  2860408.85691 , delta error  5731.77766097 , grad norm  2392.31547816
Step  300 , error  2341499.89629 , delta error  4691.5353724 , grad norm  2164.36922461
Step  400 , error  1916757.98362 , delta error  3840.22620226 , grad norm  1958.17863481
Step  500 , error  1569083.26076 , delta error  3143.48004964 , grad norm  1771.6555865
Step  600 , error  1284485.3467 , delta error  2573.201543 , grad norm  1602.91641155
Step  700 , error  1051516.19626 , delta error  2106.41519675 , grad norm  1450.26039451
Step  800 , error  860807.104514 , delta error  1724.32716541 , grad norm  1312.15110524
Step  900 , error  704690.430369 , delta error  1411.56114399 , grad norm  1187.1999712
Step  1000 , error  576890.370513 , delta error  1155.53512666 , grad norm  1074.15169306
Step  1100 , error  472270.084966 , delta error  945.952532815 , grad norm  971.871222473
Step  1200 , error  386624.850237 , delta error  774.386421081 , grad norm  879.332089807
Step  1300 , error  316512.829865 , delta error  633.939595776 , grad norm  795.605914628
Step  1400 , error  259116.601679 , delta error  518.966656007 , grad norm  719.852962126
Step  1500 , error  212129.839929 , delta error  424.846641033 , grad norm  651.313630333
Step  1600 , error  173664.575242 , delta error  347.797026725 , grad norm  589.300769425
Step  1700 , error  142175.290959 , delta error  284.721530804 , grad norm  533.1927472
Step  1800 , error  116396.796326 , delta error  233.085568263 , grad norm  482.427185169
Step  1900 , error  95293.3741085 , delta error  190.814325249 , grad norm  436.495298347
Step  2000 , error  78017.1553748 , delta error  156.209338332 , grad norm  394.936779138
Step  2100 , error  63874.0463887 , delta error  127.880215983 , grad norm  357.335172033
Step  2200 , error  52295.8369034 , delta error  104.688751505 , grad norm  323.313691353
Step  2300 , error  42817.3681142 , delta error  85.7031771293 , grad norm  292.531439097
Step  2400 , error  35057.8422037 , delta error  70.1607181649 , grad norm  264.679984303
Step  2500 , error  28705.5220725 , delta error  57.4369406195 , grad norm  239.480269087
Step  2600 , error  23505.2062253 , delta error  47.0206594275 , grad norm  216.67981001
Step  2700 , error  19247.975391 , delta error  38.4933982666 , grad norm  196.050166443
Step  2800 , error  15762.7987984 , delta error  31.5125751414 , grad norm  177.384650362
Step  2900 , error  12909.662794 , delta error  25.7977378039 , grad norm  160.496254491
Step  3000 , error  10573.9456788 , delta error  21.1192957448 , grad norm  145.215777916
Step  3100 , error  8661.81273396 , delta error  17.2892958859 , grad norm  131.390130315
Step  3200 , error  7096.44640186 , delta error  14.1538712672 , grad norm  118.880797768
Step  3300 , error  5814.96015487 , delta error  11.5870592794 , grad norm  107.562454705
Step  3400 , error  4765.87205449 , delta error  9.48574103693 , grad norm  97.3217080898
Step  3500 , error  3907.03649506 , delta error  7.7654985484 , grad norm  88.055961205
Step  3600 , error  3203.95103583 , delta error  6.35722322636 , grad norm  79.6723856528
Step  3700 , error  2628.37029603 , delta error  5.20433946846 , grad norm  72.0869912564
Step  3800 , error  2157.17122491 , delta error  4.26053175955 , grad norm  65.2237845332
Step  3900 , error  1771.42415864 , delta error  3.48788397588 , grad norm  59.0140073035
Step  4000 , error  1455.63234335 , delta error  2.85535613499 , grad norm  53.3954477994
Step  4100 , error  1197.10937247 , delta error  2.33753739279 , grad norm  48.3118173711
Step  4200 , error  985.469527099 , delta error  1.91362518884 , grad norm  43.7121865408
Step  4300 , error  812.21054394 , delta error  1.56658952655 , grad norm  39.5504747537
Step  4400 , error  670.372048988 , delta error  1.28248881332 , grad norm  35.7849887123
Step  4500 , error  554.255934701 , delta error  1.04990977448 , grad norm  32.3780046669
Step  4600 , error  459.197447117 , delta error  0.859508940015 , grad norm  29.295390478
Step  4700 , error  381.377786565 , delta error  0.703637283386 , grad norm  26.506263662
Step  4800 , error  317.670693416 , delta error  0.576032932698 , grad norm  23.9826819956
Step  4900 , error  265.516855634 , delta error  0.471569609098 , grad norm  21.6993635771
Step  5000 , error  222.821092619 , delta error  0.386050686186 , grad norm  19.6334335414
Step  5001 , error  222.821092619 , delta error  0.386050686186 , grad norm  19.6334335414
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 40.82%
[0.0, 0.0, 0.0, 2.2308979364194089e-05]
Result:  result(mean_score=5.5772448410485224e-06, std_dev=9.6600714309474478e-06, parameters={'k': 50, 'reg_penalty': 500})
{'k': 50, 'reg_penalty': 1000}
Step  100 , error  3494203.32229 , delta error  7000.63229724 , grad norm  2643.884919
Step  200 , error  2860399.71466 , delta error  5730.51142135 , grad norm  2392.05214266
Step  300 , error  2341581.44666 , delta error  4690.92178347 , grad norm  2164.22831825
Step  400 , error  1916880.2482 , delta error  3839.98660593 , grad norm  1958.11798535
Step  500 , error  1569217.89486 , delta error  3143.44929213 , grad norm  1771.64722578
