{'k': 10, 'reg_penalty': 10}
Step  2200 , error  11882.8702027 , delta error  20.8205036025 , grad norm  144.184959533
Step  2300 , error  9997.6197585 , delta error  17.04811057 , grad norm  130.470589313
Step  2400 , error  8453.87494751 , delta error  13.9606778217 , grad norm  118.066837752
Step  2500 , error  7189.63398617 , delta error  11.4336887545 , grad norm  106.848406556
Step  2600 , error  6154.17209523 , delta error  9.365178851 , grad norm  96.7014731803
Step  2700 , error  5305.99244188 , delta error  7.67175714147 , grad norm  87.5230933113
Step  2800 , error  4611.14349412 , delta error  6.28524661252 , grad norm  79.2203176935
Step  2900 , error  4041.84263637 , delta error  5.14990261079 , grad norm  71.7092389226
Step  3000 , error  3575.35181559 , delta error  4.22013484095 , grad norm  64.9140883806
Step  3100 , error  3193.05911588 , delta error  3.45864891788 , grad norm  58.7664209705
Step  3200 , error  2879.72827101 , delta error  2.83493087233 , grad norm  53.2043883481
Step  3300 , error  2622.88516197 , delta error  2.32401053144 , grad norm  48.1720907415
Step  3400 , error  2412.31613434 , delta error  1.90545169049 , grad norm  43.6189966857
Step  3500 , error  2239.65765651 , delta error  1.56252698971 , grad norm  39.499421727
Step  3600 , error  2098.06062767 , delta error  1.28154343358 , grad norm  35.7720589702
Step  3700 , error  1981.91571579 , delta error  1.05129089873 , grad norm  32.3995557516
Step  3800 , error  1886.62860167 , delta error  0.86259111908 , grad norm  29.3481317013
Step  3900 , error  1808.43603969 , delta error  0.707928788447 , grad norm  26.5872341275
Step  4000 , error  1744.25530584 , delta error  0.581149789444 , grad norm  24.0892271187
Step  4100 , error  1691.56095931 , delta error  0.477214301105 , grad norm  21.8291110977
Step  4200 , error  1648.28395235 , delta error  0.391994776885 , grad norm  19.784269838
Step  4300 , error  1612.72902776 , delta error  0.322110614569 , grad norm  17.9342422063
Step  4400 , error  1583.50708382 , delta error  0.264792835065 , grad norm  16.2605161371
Step  4500 , error  1559.47979064 , delta error  0.217773308962 , grad norm  14.7463425837
Step  4600 , error  1539.71423594 , delta error  0.179194067653 , grad norm  13.3765674196
Step  4700 , error  1523.44578242 , delta error  0.147533050638 , grad norm  12.1374794823
Step  4800 , error  1510.04764847 , delta error  0.12154330578 , grad norm  11.0166731442
Step  4900 , error  1499.00599445 , delta error  0.100203202449 , grad norm  10.002923977
Step  5000 , error  1489.8995172 , delta error  0.0826756611223 , grad norm  9.08607622718
